Year,energy_consumption(TWh)
1971,794.3863
1972,835.8586
1973,853.3237
1974,903.9876
1975,972.0112
1976,1019.4541
1977,1078.32
1978,1120.9728
1979,1182.959
1980,1218.599
1981,1349.2845
1982,1336.0491
1983,1405.0502
1984,1500.9186
1985,1584.2627
1986,1695.5906
1987,1802.8536
1988,1962.3015
1989,2143.4136
1990,2300.7012
1991,2427.663
1992,2552.7722
1993,2616.248
1994,2757.1213
1995,2963.118
1996,3081.6313
1997,3252.01
1998,3449.4966
1999,3549.4888
2000,3728.5144
2001,3743.8525
2002,3865.7512
2003,4004.0781
2004,4347.582
2005,4603.6104
2006,4849.72
2007,5263.1113
2008,5570.697
2009,6003.236
2010,6269.459
2011,6650.7104
2012,7048.088
2013,7294.344
2014,7799.773
